timestamp,temperature_c,humidity,pressure_hpa
2026-03-10 23:43:30,24.4,63.3,1009.7
2026-03-10 23:44:13,24.9,60.5,1009.7
2026-03-10 23:45:14,25.5,58.2,1009.7
2026-03-10 23:46:14,25.2,58.0,1009.7
2026-03-10 23:47:14,24.8,58.1,1009.7
2026-03-10 23:48:14,24.4,58.5,1009.7
2026-03-10 23:49:14,24.2,60.6,1009.8
2026-03-10 23:50:14,24.1,61.8,1009.8
2026-03-10 23:51:14,24.0,62.3,1009.7
2026-03-10 23:52:14,24.0,63.3,1009.7
2026-03-10 23:53:15,24.0,63.9,1009.8
2026-03-10 23:54:15,24.9,62.3,1009.8
2026-03-10 23:55:15,26.2,59.4,1009.8
2026-03-10 23:56:15,26.8,57.4,1009.8
2026-03-10 23:57:15,26.9,56.9,1009.8
2026-03-10 23:58:15,26.1,57.9,1009.9
2026-03-10 23:59:15,25.4,59.7,1009.8
2026-03-11 00:00:15,24.9,60.9,1009.8
2026-03-11 00:01:16,24.7,61.8,1009.8
2026-03-11 00:44:39,24.1,62.5,1010.1
2026-03-11 00:44:49,24.1,62.4,1010.1
2026-03-11 00:44:59,24.1,62.5,1010.1
2026-03-11 00:45:09,24.1,62.3,1010.1
2026-03-11 00:45:19,24.1,62.3,1010.1
2026-03-11 00:45:29,24.1,62.3,1010.1
2026-03-11 00:45:40,24.1,62.2,1010.1
2026-03-11 00:45:50,24.2,62.2,1010.1
2026-03-11 00:46:00,24.2,62.1,1010.1
2026-03-11 00:46:10,24.2,62.5,1010.1
2026-03-11 00:46:20,24.2,62.0,1010.1
2026-03-11 00:46:30,24.2,62.1,1010.1
2026-03-11 00:46:40,24.2,62.1,1010.1
